date,X,Y,Z,DB,a,pos
2016-07-31 11:07:47:315,1.637634,-1.58975,9.308656,55.89444,-0.225625909492,0.00774135419996
2016-07-31 11:07:47:816,1.628057,-1.704672,9.337388,56.01042,-0.179668184046,0.0315438152398
2016-07-31 11:07:48:315,1.647211,-1.666364,9.289502,52.81089,-0.229555309537,-0.0123210149633
2016-07-31 11:07:48:815,1.61848,-1.723825,9.356542,53.33386,-0.159304256232,-0.024108040517
2016-07-31 11:07:49:315,1.493982,-1.848324,9.29908,55.75432,-0.212022469723,-0.0530668506207
2016-07-31 11:07:49:816,1.388637,-1.810016,9.29908,55.17742,-0.235170524525,-0.0403443067498
2016-07-31 11:07:50:315,1.599327,-1.838747,9.289502,55.3619,-0.206163017265,-0.0443440582675
2016-07-31 11:07:50:816,2.643199,-1.704672,8.868124,60.01929,-0.400641315129,-0.0306454560736
2016-07-31 11:07:51:316,2.863465,-1.733402,9.040506,61.00174,-0.169727024826,-0.0170260747853
2016-07-31 11:07:51:816,2.75812,-1.723825,8.925584,55.01915,-0.310271145655,-0.0320600649873
2016-07-31 11:07:52:315,2.528277,-1.838747,9.050082,57.34821,-0.235180976882,0.00222359979239
2016-07-31 11:07:52:815,2.25055,-2.03986,9.155428,50.11792,-0.163867822527,0.0061000761013
2016-07-31 11:07:53:315,2.413355,-2.126051,9.050082,50.2282,-0.205399049552,0.0202712918044
2016-07-31 11:07:53:815,2.365471,-2.240973,8.963892,53.34979,-0.272244874907,0.053072618869
2016-07-31 11:07:54:315,2.346318,-2.240973,9.097966,51.72437,-0.150799542353,0.0561951357576
2016-07-31 11:07:54:815,2.346318,-2.212242,9.03093,51.77526,-0.220582943234,0.0471272984844
2016-07-31 11:07:55:315,2.365471,-2.164358,9.05966,49.35279,-0.199727479431,0.0514621476335
2016-07-31 11:07:55:815,2.48997,-2.106897,9.011776,50.20494,-0.226103493689,0.0382374252562
2016-07-31 11:07:56:316,2.499547,-2.116474,9.011776,52.54705,-0.221501469361,0.0186270438491
2016-07-31 11:07:56:816,2.442086,-2.193089,9.002198,50.03818,-0.228090366502,0.00152381675172
2016-07-31 11:07:57:315,2.576161,-1.982399,9.021352,51.13471,-0.220875785504,-0.0211698953444
2016-07-31 11:07:57:816,2.470816,-1.656788,9.040506,54.30457,-0.292614491425,-0.0383297424607
2016-07-31 11:07:58:315,2.528277,-1.82917,9.097966,49.51236,-0.191734417537,-0.0500418203331
2016-07-31 11:07:58:816,2.365471,-1.80044,9.078814,49.38437,-0.256890511879,-0.0716155675834
2016-07-31 11:07:59:315,2.346318,-1.972822,9.078814,48.89847,-0.22761520041,-0.0557278797523
2016-07-31 11:07:59:816,2.48997,-1.982399,9.107544,46.76297,-0.162346704611,-0.0601109544472
2016-07-31 11:08:00:315,2.470816,-1.915361,9.011776,50.17566,-0.271360362172,-0.0344676863181
2016-07-31 11:08:00:816,2.48997,-1.8579,9.14585,49.67136,-0.150894698089,-0.00862915464501
2016-07-31 11:08:01:316,2.432509,-1.963245,9.069236,50.20737,-0.217165560232,0.00640167823096
2016-07-31 11:08:01:816,2.470816,-2.126051,8.973468,46.59094,-0.262845842478,0.0471178241913
2016-07-31 11:08:02:316,2.528277,-1.896208,9.002198,49.30898,-0.269174134322,0.061333334368
2016-07-31 11:08:02:815,2.365471,-2.001553,9.040506,48.75862,-0.253200525297,0.0671839526222
2016-07-31 11:08:03:315,2.327164,-2.020706,9.097966,47.64896,-0.204172062831,0.0559621373499
2016-07-31 11:08:03:815,2.317587,-1.924938,9.050082,47.43076,-0.27162592403,0.0511041377713
2016-07-31 11:08:04:316,2.317587,-2.03986,8.992622,48.55747,-0.302135426025,0.043082371667
2016-07-31 11:08:04:816,2.403779,-2.030283,9.08839,50.46375,-0.192358119943,0.0181535123058
2016-07-31 11:08:05:316,2.346318,-2.030283,9.050082,49.01142,-0.242803889125,-0.0142406187899
2016-07-31 11:08:05:815,2.336741,-2.06859,9.097966,47.72342,-0.191662907428,-0.0182786717135
2016-07-31 11:08:06:316,2.365471,-2.049437,9.069236,50.58028,-0.215903549969,-0.0523876068463
2016-07-31 11:08:06:816,2.317587,-2.145205,9.040506,46.59156,-0.233786618364,-0.0420395826847
2016-07-31 11:08:07:315,2.614468,-2.250549,8.992622,52.0952,-0.178402824074,-0.0582714431017
2016-07-31 11:08:07:816,2.432509,-2.365471,9.021352,50.81235,-0.171673122641,-0.0580798840951
2016-07-31 11:08:08:315,2.173935,-2.087744,9.126698,48.97859,-0.198481661206,-0.0386920635039
2016-07-31 11:08:08:815,2.327164,-1.714248,8.992622,52.54064,-0.364281979474,-0.0138207017275
2016-07-31 11:08:09:316,1.915361,-1.982399,9.260772,55.70601,-0.147680837837,-0.013360025211
2016-07-31 11:08:09:816,1.886631,-1.991976,9.165004,50.69431,-0.243148729349,-0.00984922805036
2016-07-31 11:08:10:315,2.06859,-2.183512,9.126698,50.17151,-0.200452371446,0.0275014168553
2016-07-31 11:08:10:816,2.116475,-2.154781,9.05966,49.05893,-0.260131576865,0.0302927736208
2016-07-31 11:08:11:316,2.097321,-2.394202,9.011776,50.00391,-0.252643395372,0.05707357652
2016-07-31 11:08:11:815,2.106898,-2.260126,9.069236,57.04618,-0.228860697079,0.0538793192132
2016-07-31 11:08:12:316,2.049437,-2.231396,9.107544,48.90911,-0.211735686192,0.036676258767
2016-07-31 11:08:12:816,1.972822,-2.087744,9.155428,56.67179,-0.214555064177,0.0471921625343
2016-07-31 11:08:13:315,1.953669,-1.608903,9.27035,56.38585,-0.200380832339,0.0241850726655
2016-07-31 11:08:13:816,2.030283,-1.924938,9.260772,54.56258,-0.135841979794,0.020244767205
2016-07-31 11:08:14:315,2.087744,-1.685518,9.203312,49.142,-0.223520056496,-0.0220387220719
2016-07-31 11:08:14:826,2.212242,-1.61848,9.212888,48.09557,-0.197986814537,-0.0404205909895
2016-07-31 11:08:15:316,2.288857,-1.685518,9.097966,49.12023,-0.278325297623,0.0431334373963
2016-07-31 11:08:15:816,2.240973,-1.704672,9.11712,56.94638,-0.268001063262,-0.0659738734641
2016-07-31 11:08:16:316,2.183512,-1.723825,9.279926,50.81249,-0.122052650316,-0.053800898417
2016-07-31 11:08:16:815,2.164359,-1.781286,9.222466,52.12563,-0.17094875956,-0.0846355552586
2016-07-31 11:08:17:315,2.231396,-1.771709,9.193734,52.3721,-0.184885675887,-0.0375232911415
2016-07-31 11:08:17:815,2.288857,-1.762132,9.155428,52.17807,-0.20969597278,-0.0448560879712
2016-07-31 11:08:18:316,2.173935,-1.790863,9.174582,52.42913,-0.212805694177,-0.0030180723226
2016-07-31 11:08:18:815,2.202666,-1.934515,9.097966,48.49433,-0.251387593906,0.00951774450663
2016-07-31 11:08:19:315,2.145205,-1.924938,9.08839,48.04238,-0.275529716446,0.0335681926257
2016-07-31 11:08:19:816,2.317587,-1.924938,9.14585,55.87204,-0.180713005164,0.024043324482
2016-07-31 11:08:20:316,2.298434,-1.704672,9.165004,50.06824,-0.208645730942,0.0567417506307
2016-07-31 11:08:20:815,2.020706,-1.675941,8.983046,50.62004,-0.451199520663,0.0749922767763
2016-07-31 11:08:21:315,2.317587,-2.106897,9.069236,59.03786,-0.215143768932,0.0621613009187
2016-07-31 11:08:21:815,2.346318,-2.221819,8.944738,51.56095,-0.299478157613,0.00839118028924
2016-07-31 11:08:22:315,2.346318,-2.54743,8.84897,51.7327,-0.307427831217,0.0285986223884
2016-07-31 11:08:22:815,2.461239,-2.317587,9.069236,53.56606,-0.131159752254,-0.0264663580743
2016-07-31 11:08:23:315,2.327164,-2.643199,8.973468,49.95864,-0.17022193287,-0.0201579640855
2016-07-31 11:08:23:816,2.461239,-2.394202,8.935162,50.28993,-0.237799594755,-0.0163214716226
2016-07-31 11:08:24:315,2.662352,-2.30801,8.916008,51.76009,-0.223017837293,0.00952829366335
2016-07-31 11:08:24:817,2.786851,-2.317587,8.82024,51.56542,-0.274047941796,-0.0315173244531
2016-07-31 11:08:25:316,1.503559,-1.388637,8.916008,59.39228,-0.662093078725,0.0466492780321
2016-07-31 11:08:25:815,0.909797,-1.532289,9.519346,63.57216,-0.125290999289,-0.0507112388987
2016-07-31 11:08:26:315,1.063026,-0.670376,9.222466,62.98612,-0.502298491077,-0.0613033713371
2016-07-31 11:08:26:816,1.235408,-1.16837,9.32781,63.54239,-0.328472655766,-0.0520460500921
2016-07-31 11:08:27:315,1.024718,-1.963245,9.069236,58.40138,-0.474293302955,-0.0614780839548
2016-07-31 11:08:27:815,1.982399,-1.043872,9.45231,58.0055,-0.0957970536083,-0.0953034711554
2016-07-31 11:08:28:315,2.346318,-2.173935,9.356542,60.57688,0.0781787877805,-0.0964858587014
2016-07-31 11:08:28:816,2.949657,-1.599327,9.490616,62.47603,0.256286074319,-0.0363880255747
2016-07-31 11:08:29:316,2.221819,-1.82917,9.337388,61.62279,-0.0391680384829,0.0855201551945
2016-07-31 11:08:29:816,2.394202,-1.321599,9.394848,58.78173,-0.0252160945318,0.152027143499
2016-07-31 11:08:30:315,2.346318,-1.61848,9.346964,56.49721,-0.0380799386804,0.170033990207
2016-07-31 11:08:30:815,2.298434,-1.369483,9.318234,54.9422,-0.11527115292,0.150416113787
2016-07-31 11:08:31:316,2.375048,-1.091756,9.222466,58.68183,-0.224246858645,0.14123999266
2016-07-31 11:08:31:816,2.451663,-1.244985,9.212888,56.87912,-0.195534626598,0.0789880651001
2016-07-31 11:08:32:316,2.25055,-1.37906,9.27035,59.59835,-0.171215278439,0.0147351042759
2016-07-31 11:08:32:816,2.509123,-1.158794,9.069236,54.53849,-0.328990381438,-0.0496564253113
2016-07-31 11:08:33:316,2.365471,-1.35033,9.184158,61.27652,-0.2304591796,-0.105923677867
2016-07-31 11:08:33:816,2.384625,-1.273715,9.394848,53.96968,-0.0339090002725,-0.190408793707
2016-07-31 11:08:34:316,2.863465,-1.197101,9.174582,55.83275,-0.124679278147,-0.170139296272
2016-07-31 11:08:34:816,3.725378,-0.92895,8.90643,60.64678,-0.111243136861,-0.146390320104
2016-07-31 11:08:35:316,4.156334,-0.986411,8.523358,59.05879,-0.276073706146,-0.0976234690847
2016-07-31 11:08:35:816,3.667917,-0.737414,8.034941,59.52918,-0.946723438831,-0.0292199594353
2016-07-31 11:08:36:315,2.911349,-0.727837,9.136274,58.98143,-0.193493238112,-0.087596218992
2016-07-31 11:08:36:815,2.585738,-1.82917,9.366118,60.02352,0.077166949307,-0.142486294946
2016-07-31 11:08:37:315,2.911349,-1.082179,9.279926,58.85958,-0.0240871170177,0.026320116083
2016-07-31 11:08:37:817,2.48997,-1.40779,9.241618,54.22325,-0.135842334191,0.138525369538
2016-07-31 11:08:38:315,2.461239,-1.264138,9.193734,55.87035,-0.208933019663,0.276808785229
2016-07-31 11:08:38:816,2.221819,-1.244985,9.193734,54.49802,-0.270020325926,0.258533707901
2016-07-31 11:08:39:315,2.422932,-1.513135,9.308656,56.89,-0.0728929588309,0.31487331933
2016-07-31 11:08:39:816,2.422932,-1.244985,9.193734,56.57717,-0.221187143885,0.217660109464
2016-07-31 11:08:40:316,2.288857,-1.541866,9.32781,55.60047,-0.0824999858903,0.257994690216
2016-07-31 11:08:40:816,2.231396,-1.80044,9.174582,51.96295,-0.197837538975,0.0682177813245
2016-07-31 11:08:41:315,2.173935,-1.561019,9.184158,48.19428,-0.243834003555,0.0617818604037
2016-07-31 11:08:41:815,2.212242,-1.570596,9.260772,51.67482,-0.159990440535,-0.266135446347
2016-07-31 11:08:42:315,2.145205,-1.666364,9.27035,58.32352,-0.149872537331,-0.288630174984
2016-07-31 11:08:42:815,2.221819,-1.541866,9.203312,52.37221,-0.217566408879,-0.670165344459
2016-07-31 11:08:43:316,2.260126,-1.637634,9.29908,51.34009,-0.101091539198,-0.616641092972
2016-07-31 11:08:43:816,2.078167,-1.522712,9.184158,54.14182,-0.271331954419,-1.09544424636
2016-07-31 11:08:44:316,2.097321,-1.484405,9.165004,51.69184,-0.29162241235,-0.720581186616
2016-07-31 11:08:44:815,2.030283,-1.474828,9.289502,58.83698,-0.187525573031,-1.85196714478
2016-07-31 11:08:45:316,2.126051,-1.331176,9.174582,49.59223,-0.298686879705,2.90857347225
2016-07-31 11:08:45:321,2.126051,-1.331176,9.174582,49.59223,-0.298686879705,5.37194999553
2016-07-31 11:08:45:416,2.059013,-1.37906,9.232042,49.59223,-0.251132885769,-0.256713361083
2016-07-31 11:08:45:916,2.078167,-1.561019,9.279926,55.90753,-0.172957665148,-1.29403085796
2016-07-31 11:08:46:416,2.03986,-1.656788,9.212888,51.98873,-0.229640894148,-0.93024780691
2016-07-31 11:08:46:916,1.972822,-1.695095,9.232042,50.10921,-0.218546867525,-0.842496944458
2016-07-31 11:08:47:417,2.03986,-1.714248,9.251196,51.29044,-0.182731308646,-0.642389377704
2016-07-31 11:08:47:916,2.059013,-1.551443,9.14585,59.02599,-0.307732789543,-0.429973762123
2016-07-31 11:08:48:416,2.049437,-1.695095,9.251196,47.15196,-0.184088796046,-0.288697803662
2016-07-31 11:08:48:915,2.126051,-1.714248,9.27035,49.14705,-0.145729298979,-0.0962682940058
2016-07-31 11:08:49:415,2.202666,-1.8579,9.174582,47.55629,-0.193530544307,0.0084362687485
2016-07-31 11:08:49:916,2.202666,-1.810016,9.165004,47.9655,-0.21181299683,0.179859274279
2016-07-31 11:08:50:415,2.298434,-1.742979,9.107544,58.70252,-0.256564368839,0.210379658715
2016-07-31 11:08:50:916,2.269703,-1.810016,9.222466,48.04627,-0.141412267057,0.259177922585
2016-07-31 11:08:51:416,2.269703,-1.944092,9.222466,48.33498,-0.115417774147,0.270646666561
2016-07-31 11:08:51:915,2.154782,-1.838747,9.11712,55.08975,-0.262961030145,0.2694192728
2016-07-31 11:08:52:416,2.154782,-1.8579,8.983046,52.64908,-0.387155773566,0.201554795062
2016-07-31 11:08:52:916,2.03986,-2.193089,9.126698,49.56339,-0.204413887496,0.12422923532
2016-07-31 11:08:53:416,2.116475,-2.154781,8.887278,58.52579,-0.423506627453,0.026928647461
2016-07-31 11:08:53:916,2.288857,-2.183512,9.040506,53.68349,-0.23203885179,-0.0374526065425
2016-07-31 11:08:54:415,2.30801,-2.116474,9.097966,50.44452,-0.188183243798,-0.156332760592
2016-07-31 11:08:54:916,2.231396,-2.327164,9.232042,50.54438,-0.0311749232602,-0.159396429765
2016-07-31 11:08:55:416,2.432509,-2.059013,8.983046,58.3395,-0.278381564112,-0.149740618561
2016-07-31 11:08:55:916,2.48997,-2.087744,8.963892,54.2215,-0.27532720026,-0.131712527015
2016-07-31 11:08:56:416,2.470816,-2.327164,9.011776,54.92949,-0.180216478917,-0.138611222531
2016-07-31 11:08:56:915,2.557007,-2.097321,8.925584,48.92638,-0.291434461215,-0.0949801142888
2016-07-31 11:08:57:416,2.221819,-2.298433,9.050082,57.06801,-0.21191382978,-0.0819130590669
2016-07-31 11:08:57:916,2.001553,-1.867477,9.136274,51.44788,-0.272432838485,-0.00104900322181
2016-07-31 11:08:58:416,1.886631,-1.944092,9.212888,58.27902,-0.207074636593,0.0116567321851
2016-07-31 11:08:58:916,1.675941,-1.790863,9.279926,51.56645,-0.211406609001,0.0988223728656
2016-07-31 11:08:59:415,1.484405,-1.675941,9.279926,52.28173,-0.263835167724,0.0905904087449
2016-07-31 11:08:59:916,1.398214,-1.924938,9.260772,47.84838,-0.248499765747,0.135495556407
2016-07-31 11:09:00:416,1.216255,-1.915361,9.289502,57.46739,-0.24743071171,0.122547264026
2016-07-31 11:09:00:916,1.197101,-1.877054,9.069236,49.32521,-0.471508465131,0.153137551978
2016-07-31 11:09:01:415,1.312023,-2.087744,9.174582,54.3759,-0.309840304669,0.0381982214257
2016-07-31 11:09:01:916,1.484405,-2.145205,9.097966,49.46999,-0.345416119385,0.0145881621767
2016-07-31 11:09:02:416,1.407791,-2.403778,9.184158,58.29396,-0.212667957087,-0.0286006479853
2016-07-31 11:09:02:915,1.292869,-2.384625,9.222466,47.23108,-0.196893022392,-0.0553901754653
2016-07-31 11:09:03:415,1.312023,-2.413355,9.260772,47.29964,-0.150414877204,-0.0956745113173
2016-07-31 11:09:03:916,1.264139,-2.221819,9.184158,48.52585,-0.276727463822,-0.0627764340435
2016-07-31 11:09:04:416,1.273715,-2.288857,9.232042,47.5083,-0.213551919724,-0.081847699696
2016-07-31 11:09:04:916,1.187524,-2.250549,9.241618,47.5036,-0.224454250805,-0.0659250495511
2016-07-31 11:09:05:416,1.120486,-2.336741,9.193734,47.55574,-0.258005850084,-0.0369914390583
2016-07-31 11:09:05:915,1.101333,-2.221819,9.155428,51.79093,-0.324681032836,-0.0262286125339
2016-07-31 11:09:06:415,0.986411,-2.365471,9.241618,49.31812,-0.219590052001,-0.0310756993887
2016-07-31 11:09:06:915,1.063026,-2.442086,9.232042,47.95476,-0.201440909385,0.0097611488957
2016-07-31 11:09:07:415,1.120486,-2.375048,9.184158,46.05344,-0.257769891409,0.019614141122
2016-07-31 11:09:07:916,1.197101,-2.30801,9.212888,48.57726,-0.237264431478,0.0588930412961
2016-07-31 11:09:08:416,1.37906,-2.212242,9.165004,57.36925,-0.281457641896,0.0641721318493
2016-07-31 11:09:08:916,1.35033,-2.413355,9.184158,45.0679,-0.218522969121,0.0597170084744
2016-07-31 11:09:09:416,1.321599,-2.595315,9.126698,45.84174,-0.229869507714,0.0641957770813
2016-07-31 11:09:09:915,1.149217,-2.662352,9.155428,56.7341,-0.206319468653,0.0329192743561
2016-07-31 11:09:10:415,1.177947,-2.614468,9.174582,49.16396,-0.197718432518,0.0008795860132
2016-07-31 11:09:10:915,1.331176,-2.528277,9.126698,50.08202,-0.246484406093,-0.0398545998287
2016-07-31 11:09:11:416,1.292869,-2.461239,9.107544,46.70935,-0.287575656472,0.0
